Reference Title,Reference Link,Short Title,Description of Patient Harm,Direct Quote,Time Point,Speciality,Technical Domain,Clinical Impact Score
Social Media,Removed,Cyberattack induces worsening of anxiety/panic attacks,Patients report worsening in psychiatric symptoms (anxiety) due to concerns about the cyberattack and it’s implications,"I went 4 weeks without an anxiety attack.  Unfortunately today I got one after reading the  news about cyber attacks running rampant.  Thankfully I had medication to stop it.

Has anyone here ever had an attack after simply reading or watching the news.  I suddenly felt very scared and that the world is not a safe place anymore.",First Week,Psychiatry,Health Records,4
Social Media,Removed,Cyberattack induces worsening of anxiety/panic attacks,Patients report worsening in psychiatric symptoms (anxiety) due to concerns about the cyberattack and it’s implications,"Until the last few months, where I learned some new information about past psychiatric care, it's a long story but basically I learned that a psychiatrist I saw for a brief intake wrote down a bunch of misleading things about me in my chart, including a lengthy and bizarre differential diagnosis and very detailed description of my trauma history to the point I find it humiliating. I also found out that some of my medical records were involved in a data breach, so this and my other medical information including therapy notes might just be out there in the world somewhere. After learning this anxiety kicked into overdrive and I stopped being able to sleep and started having panic attacks. Things got bad enough that I felt like I needed to talk to a doctor, which induced the usual feedback loop. I had a PCP appointment where I said I need help but don't want another long-term medication, but my doctor pushed it anyway and anxiety got worse. I got a psychiatry appointment and I'm absolutely terrified of it.

How do I cope with my intense fear of psychiatry, when I clearly need help from psychiatry? And are there medications for anxiety that might be helpful for an acute period of stress like this that won't require a 6-month plus commitment to a process I already know is not going to go well for me?",First Week,Psychiatry,Health Records,4
Social Media,Removed,Cyberattack induces worsening of anxiety/panic attacks,Patients report worsening in psychiatric symptoms (anxiety) due to concerns about the cyberattack and it’s implications,Having a panic attack had small one earlier and . I went to sleep tryied to ignored but I woke up and got on FB and everyone talking about the nationwide cell phone outage mainly att but did affect other providers too. So far it didn't affect mine but everyone keeps saying it was a cyber attack that either Russia or China are trying to kill our service so they can come attack ect. I know when there outages or events like this ppl like to make theories n conspiracies but it's triggering my severe PTSD and anxiety. Really freaking me out n scared as hell rn.,Week 2,Psychiatry,Health Records,5
Social Media,Removed,Cyberattack induces worsening of anxiety/panic attacks,Patients report worsening in psychiatric symptoms (anxiety) due to concerns about the cyberattack and it’s implications,"I’ve been seeing so much about a cyber attack, and an attack on the powergrid and it’s making me so anxious. I don’t have the money to buy a generator and even more so I live in an apartment. I also live 6 hours away from my parents and my phone is the only way we can communicate until our schedules match up to plan a visit. I’m so anxious, I don’t even know what to believe anymore. 😭",Week 2,Psychiatry,Health Records,5
Social Media,Removed,Cyberattack induces worsening of anxiety/panic attacks,Patients report worsening in psychiatric symptoms (anxiety) due to concerns about the cyberattack and it’s implications,"When I called they got weird about my insurance, said I didn't qualify because I'm a *** and have ***. I've been using my savings card since Aug. 2023. I don't use VA health system. It turned into an argument and my PTSD kicked in. Now, I'm having panic attacks when I try calling back.  Oh, my pharmacy had to shut down their system due to a cyber attack so I'm trying to get it filled through another pharmacy. And I can't log in to the website which requires a phone call to fix. Please help.",Week 2,Psychiatry,Health Records,5
Social Media,Removed,Psychiatric inpatients miss their medications,Staff report difficulties in determining which medications psychiatric patients should take and issues providing medications due to system outages.,I work at an inpatient psych site in Philly PA. The nurses told me they asked the patients what they take for morning meds and then didn’t even distribute evening meds bc they have no record of their medications. I had to hand write all my notes from photocopies of the note format and look through the charts for each treatment goal. It was a nightmare.  Also at our hospital we were told that it was a cyberattack and later in the evening we were told the system was being held ransom,First Week,Psychiatry,ePrescribing,7
Social Media,Removed,Radiographers cannot check for CT Contrast Allergy,"Staff report that the loss of health record and radiological imaging systems prevent detection of potential contrast allergies, which may be more of an issue for patients with confusion or reduced cognition. ","[Comment] Nurse charting isn't the worst thing when the EMR goes down. You scribble some notes on paper and write vitals in a grid. It's slow and inconvenient, but that isn't what causes safety problems. The bigger problems are usually with communication between departments. When x-ray doesn't get electronic orders or know who's ready for imaging, they may get hundreds of phone calls from all the nurses around the hospital. When CT doesn't have the patient chart in front of them, they can't double check for a contrast allergy. When lab has to print out all their results on paper and fax or tube them to the recipient, results can get lost and trends can go unnoticed. When I was in an ED that had extended downtime from a power outage, we assigned one experienced nurse to coordinate communications. For example they were the point of contact who told the rad techs which patients needed which tests in what order. They took no patient assignment, and literally did nothing but send and receive calls and faxes and tube messages the whole time. They kept things organized and caught any number of potential mistakes. Honestly, we might have needed two people for the amount of work she did, but we didn't have anyone else to use.",First Day,All,Health Records,7
Social Media,Removed,Radiologist fatigue from working extended hours,Staff report radiologists needing to work over 36 hours due to cyberattack impacts on CT scanning and reporting,"I woke at a *** trauma center and this had definitely fucked us, lab work takes hours now, complete paper charting, transferring patients to different hospitals is damn near impossible, some of us don’t even know if we’re getting paid cause if this attack, shits nuts, but to mention a huge decline in patient care, we’re not even able to send off CT scans off to our radiologist, we’re having 1 do it but he’s been on for 36 hours straight",Week 2,All,Imaging,5
Social Media,Removed,Staff return to paper-based charting,Staff report returning to paper based charting while the hospital is in IT shutdown,So I'm in *** and at least 2 hospitals I know of have been offline (my hospital is going onto day 2 now). I'm hearing that this is due to some kind of cyberattack that hit *** hospitals too. Anyone else experiencing IT shutdowns?   [Comment] Yesterday we got our paper charting systems up and running!  ,First Week,All,Health Records,4
Social Media,Removed,Risk of medication errors related to verbal orders,"Staff report concerns around risk of medication errors, due to shift to verbal orders","I worked a shift on Saturday and I called out for Sunday. I didn’t want to deal with another admission. And yeah I’m concerned about medication errors being made, since we have to override everything and it’s all verbal orders. Sadly, my per diem job has a scabies outbreak… so I’m going there for a while.  Have anyone mentioned a date when the system will come back online?   [Comment]  Talked to charge yesterday, and there was no news on that front. Very little news at all actually for such a bug system going down and how it has to have impacted our area alone. Neighbor hospitals must be slammed. That's the only good news for getting a per diem job at a time like this lol.",First Week,All,ePrescribing,7
Social Media,Removed,Risk of medication errors related to verbal orders,"Staff report concerns around risk of medication errors, due to shift to verbal orders","Overriding every single medication in the Pyxis. All medication safety checks out the window. Important papers (like MARS) getting lost because there are just piles and piles of paperwork that isn’t organized. Doctors handing me papers for patients without any name or identifying information to keep up with which patient the paper is even for. Orders getting missed. Things that should take 10 seconds are now taking 20 minutes. Patient are mad that things aren’t getting done quickly enough. When (not if but WHEN) a patient gets seriously hurt or killed over this, the nurse is who will be blamed. The nurse will be on trial in some courtroom and the hospital will NOT have his or her back. Mark my words.",First Week,All,ePrescribing,7
Social Media,Removed,Risk of medication errors,"Staff report concerns around risk of medication errors, due to shift to verbal orders",Just wanted to share my excitement with you all and share one of the worst experiences I’ve had. 1.  In a 50 bed nursing home on my first night there they had a planned system outage.  (Called me to pick up the shift but conveniently didn’t mention the outage) When I got there the ADON told me all of the paper MARs/TARs were updated.  On my first resident I found 5 meds in the cart and 3 on the MAR.  When I called the ADON back and told her she said just give whatever is in the cart. 😳,First Week,All,ePrescribing,7
Social Media,Removed,Risk of medication errors,"Staff report concerns around risk of medication errors, due to shift to verbal orders","Showed up Sunday to surprise CVICU paper charting. But only like 9 PCU patients and on divert, all cases cancelled. Yesterday and today I was called off and only 5 or fewer patients now. They are trying to DC everyone. HR got sent home yesterday.  I was told Blacksuit hacker group got into something, encrypted it with randomware, and then Ardent elected to shut down everything else for containment. Including for a while cafeteria payment system lol.  This started Thursday and at the time they said ""24-36 hours will be back up"". Here we are almost a week later. I remember the *** dictation hack problems lasted months a few years ago.  Being as this affects 34 hospitals or more, I can't imagine how financially catastrophic this must be. I'll be looking for a per diem something asap because you never know.  Edit: Also, already heard of two very serious related med errors.",First Week,All,ePrescribing,8
Social Media,Removed,Staff Burnout,Staff burnout raising risks of suboptimal patient care,"SOS I cannot anymore. I'm not just talking epic. Literally everything, no computers, no phones, no imaging, doc halo, or **. Can’t log into computers whatsoever, phones are just dead, can’t have downtime boards, no vocera, no call lights. Even the HVAC system!! We are a level one trauma and stroke center, and of course this happened on a Sunday. We’re running around and giving personal cell phone numbers to all the floors and admin won’t let us go on any type of diversion!!!!!!!! Trauma doctors, ER doctors, the entire OR, and Neuro intervention are demanding we go on diversion and administration said nope.

It took days for our CEO to even address the issue to the public. They have yet to admit peoples medical information has been breached. The last update on the Facebook page was days ago with no new information. Payday has come and gone and everyone’s check was, “just modeled after last pay period“ and if the last pay period was a shitty one for you, go fuck yourself! This is somehow the most painful part, if we can take care of level one traumas and give stroke pts TNK, payroll can manually add up the hours we’ve been tracking day in and day out!

I know at the end of the day, technology is just a convenience, but this isn’t just downtime procedures. This is “figure out a system from scratch on a weekend and implement it and no you can’t stop taking patients for even a moment!!“

Room one needs an x-ray?
Who’s on for x-ray tech?
What’s ** from switchboards cell phone number?
** do you know who’s on for x-ray tech? Do you have their phone number?
X-ray tech is sweaty but she’s here.
X-ray done.
Who’s the radiologist today?
**?
Wait how do we get the results?
Someone get the radiologists cell phone number, he’s got to come sit here and text us results!
…OK who knows who’s on for ortho?
Rinse and repeat.

It’s been like 15 days and I am honestly withering. There are no answers to be had and we’re all just expected to keep on keeping on.

I’m not sure what this post is, really just to vent. Thanks for reading and commiserate for us!",Week 2,All,Hospital Infrastructure,7
Social Media,Removed,Staff Burnout,"Staff report stress of losing technology, increase pressure of work and desire to leave their job role.","I’ve worked at a hospital attacked by ransomware. It took 2 months to get back online. Luckily it was a small rural hospital. If my level 1 was attacked by ransomware, I think that would be the straw that broke the camels back.",First Month,All,All,5
Social Media,Removed,Staff Burnout & Quitting,"Staff report stress of losing technology, increase pressure of work and desire to leave their job role.",As a lab tech who relies HEAVILY on technology: Fuck. This.  Technology is NOT just a convenience. It plays a vital role in patient care. This is quitting territory for me.,First Month,All,All,6
Social Media,Removed,Staff Burnout & Quitting,"Staff report stress of losing technology, increase pressure of work and desire to leave their job role.","My main question is do I need to give 2 weeks notice if I’m in orientation?
I have been at my current job for under 2 months. It has been nothing but issues and I feel like something is screaming at me to quit. The facility was effected by the Kronos ransomware attack so my paychecks have been EXTREMELY short 50hrs instead of the 80 that I actually work. I absolutely hate the job…the coworkers are great, but the job is boring. The insurance is absolutely atrocious, goodrx has one of my prescriptions for $12 and my insurance charges $28, My PCP is now out of network.
I stuck it out for the ransomware, but yesterday we were told that elective procedures are cancelled (it’s an endoscopy unit) and today we were told that 100 nurses are out with Covid and they need nurses on the floors so we are expected to float. Then this afternoon the ED manager came by to size up the unit to turn it into overflow for us to take ED patients.
I’m sorry but I just left the ED & I’m not going back for less than travel pay. In fact the facility has contracts posted for $100 an hour so I’m not going to work for less than that.
I just had a conversation with my partner & I am putting in my resignation today. I have interviews lined up & I have 2 years of ED experience so I can pick up an ED contract if I don’t get a job. I just want to know if I should give 2 weeks…because I don’t want to & I’m still orienting so…?",First Month,All,Health Records,6
Social Media,Removed,Staff Burnout & Quitting,"Staff report stress of losing technology, increase pressure of work and desire to leave their job role.","How long are you giving them to get the computers back working before you quit, or will you eventually quit at all? I feel like I’ve been put in an impossible situation, and I know you all probably do too. They’re asking us to override every single medication. I understand there’s no other choice, but it will be the nurses in court and losing their license when something goes wrong with a patient because of this cyberattack. I imagine a judge would say “You knew the conditions were unsafe, and you continued to accept assignments at that hospital. You were still responsible for keeping the patient safe, and failing technology is no excuse for not doing do.” How long are you willing to put your license at risk before you put in your notice? Because for me, I really can’t decisively what the right thing to do is - I only started this job a few months ago.",First Month,All,Health Records,6
Social Media,Removed,Staff Burnout & Quitting,"Staff report stress of losing technology, increase pressure of work and desire to leave their job role.","I’m a new grad nurse at an *** facility on a tele/medsurg floor approaching the 3 month mark and I’ve been feeling extremely down over this cyberattack. Old nurses are gonna shoot me down for saying this but the paper charting system is absolutely atrocious and in no way was my unit prepared for any of this chaos that’s going on right now. Orders not being received, lab results not being faxed back on time, pharmacy not being prompt with meds, certain pt cares not being done/not documented, papers flying left and right. EVERY department is backed up.

I’m supposed to be on my own now that my orientation is supposed to be over but I fear for my license as well as feel unsupported and anxious ass a new grad being thrown into this bullshit and will be telling my manager this tonight before my shift. (I already committed a med error because of paper MARS). There’s no ETA to when this will be fixed and in all honesty, I’m really not trying to stick around and find out when it will be fixed because I was already hating the job to begin with but tolerating it to at least gain the medsurg/tele experience that every new grad needs to build that foundation. Now it’s literally intolerable and I dread every shift to the bone and I’m not even on my own yet.

What should I do? Most places probably wouldn’t take a new nurse with only 3 months of bedside exp. I’m at a complete loss right now.",First Month,All,Health Records,6
Social Media,Removed,Staff Burnout & Quitting,"Staff report stress of losing technology, increase pressure of work and desire to leave their job role.","For what it’s worth, I’m an *** nurse too. Been a nurse for 2 years. Only ever been in my current unit.  I don’t have much advice on whether or not you should quit.  Personally, I’m also miserable, but I’m going to stick it out. My fear is that others are not as adept to change, and they’ll eventually start leaving, compounding the temporary pain for the rest of us.    That being said, I wouldn’t fault or blame them AT ALL. This blows, and all those older nurses who are saying that they’re thriving because that’s how they used to do it are full of shit.  This is not how it was back then. This is an unorganized mess. If it was just paper charting, that would be fine. But all of the other hospital services (pharmacy, lab, X-ray, mri, shit…even the cafeteria washaving issues with their credit card machines) are not up to par and it’s delaying patient care and causing mistakes. I’ve heard of numerous med errors (mostly all minor at this point) throughout the hospital.  Things will eventually get better, but I just wanted to join in on your rant and remind all the older folks to chill out with that “back in my day” nonsense.  Anyways, leave or don’t leave. No one that matters should have anything bad to say about you if you do, and most hiring units in other locations will probably understand why you left.  My only advice is, if you work in a particular unit/specialty that may be hard to come by, I’d give it some second thought.  For example, my unit is the only level 3 NICU around, and I don’t want to work anywhere else, so I’m sticking it out.  Best of luck to you. Just know you’re not alone.",First Month,All,Health Records,6
Social Media,Removed,Staff Burnout & Quitting,"Staff report stress of losing technology, increase pressure of work and desire to leave their job role.","I was really happy to come across this, I feel for you in your situation! As I am in a very similar situation to you!! I’m a *** grad nurse, at an *** Hospital, and I also work on a tele unit. Lol how strange. I am also newly on my own, it is terrifying to me with the system being down, I don’t like giving meds without being able to scan them, I don’t feel safe. I’m so worried that if I make a mistake, who will have my back? We all know the hospital won’t. I just don’t feel supported on my unit which is unfortunate because I worked there before I was a nurse. I thought I’d feel better being there. I’m just nervous to leave because who is going to hire a new grad RN with their associates degree (me) over all the experienced RNs with bachelors 😂 sorry for my little rant! Just wanted to let you know that there is someone else out here who is going through a very similar situation as you!",First Month,All,Health Records,6
Social Media,Removed,Staff Burnout & Quitting,"Staff report stress of losing technology, increase pressure of work and desire to leave their job role.","Currently on a travel assignment at one of the *** locations. Cyberattack took down all electronic charting. Of course it’s been an absolute madhouse. And before I get the “we used to do paper charting and it was easy” we are talking about an entire system being set up in support of electronic charting being destroyed in minutes. And the “paper charting” we were handed was outdated... I’m in icu and it’s been a headache. My question to those who are also experiencing this chaos, or has useful feedback from similar experience, has there been any tricks or systems you’ve set into place that helps? Organization techniques? Right now I sit down with 2 icu patients and have 3 folders for each patient plus their chart that is thicker than my thigh. It’s so overwhelming and I feel the highest respect for the medsurg nurses.. Doctors are writing orders and not discussing with nursing staff that they’ve done it. This hospital hasn’t increased the secretary staff on the units either so nurses are being held responsible for everything paper related. Counting my days down for this assignment to end but trying to keep a positive attitude…",First Month,All,Health Records,6
Social Media,Removed,Staff Burnout & Quitting,"Staff report stress of losing technology, increase pressure of work and desire to leave their job role.","I’m still traumatized by the CHI cyberattack. We were on downtime for 2 weeks. Lots of tears shed   [Comment] I’m a new grad and walked in on my unit for day shift. I’m sure my eyes were big as saucers when they said “paper charting” to me. It was not a fun time but luckily, EPIC came back to us at 1000 😩",First Week,All,Health Records,6
Social Media,Removed,Staff Burnout & Quitting,"Staff report stress of losing technology, increase pressure of work and desire to leave their job role.",I am truthfully having a horrific time. I have been an RN for about a year and am just now getting comfortable with being a nurse with all safety checks and regular charting. This has been the scariest time of my life and I have left work at the point of nearly vomiting and sobbing to my family each day I leave because of how unsafe this is. This event has caused me to not even want to be a nurse anymore at the jeopardy of my mental health,First Month,All,Health Records,6
Social Media,Removed,Staff burnout in the community,Pharmacists in the community faced with managing high volumes of distressed patients who cannot access their medications,"My *** works at a pharmacy and called me about this last night. It was down most of yesterday and they were guessing it was going to be down most of today, too. She said work was a nightmare yesterday because everyone was pissed that they couldn't get their meds and was yelling at them, but there wasn't anything that they could do. If your prescription hadn't already been processed by the pharmacy they literally had no way to access it.",First Week,All,ePrescribing,4
Social Media,Removed,Staff safety compromised due to lost CCTV,"Staff in psychiatry units describe concerns around their own safety, due to the camera systems becoming inoperable. ",I'm wondering if I'm safe at work: Am a nurse in a UHS pysch facility... I'm wondering if I'm safe at work... no conclusive word on whether or not the camera systems are operating or accessible. Risk management can't turn their computers on just like the rest of us. Never thought I'd be so stressed about the lack of eye in the sky action 🙄 Been very careful not to discuss the situation in front of patients. It's wracking my nerves for sure.,First Week,Psychiatry,Hospital Infrastructure,5
Social Media,Removed,Staff told not to share information on cyberattack,Staff state that they are told not to share their experiences of the cyberattack,"South *** here were also down, no patient death reported due to this but its bad. Were having a total black out, we were told not to post online at the risk of our jobs   [Comment]  Risk your job. Yup sounds like ***. It is the same at our spot in the northeast.  [Comment] Same in North **!",First Week,All,Health Records,1
Social Media,Removed,Staff told not to share information on cyberattack,Staff state that they are told not to share their experiences of the cyberattack,"As a patient of a *** inpatient hospital, staff was told not to let patients know about the breach.",First Week,All,Health Records,1
Social Media,Removed,Staffing issues relayed to salary payments,"Loss of staffing schedules and payment software led to staff being paid based on last paycheck, which may not be reflective of work. For staff not being paid correctly, this was a demotivated for attending work.","Holy shit. This reminds me of the Kronos attack in 2021-2022 that affected a bunch of hospitals payroll systems. It went on for 3-4 months. Many people are unsure how much money they were. screwed out of. Our hospital said to punch in and out in case they were being recorded but also to submit paper slips. In the meantime they paid people every two weeks based on their last paycheck. At the end of it all many people had money yanked out of their bank account by payroll who had determined they were overpaid, especially those who were paid based on a last check that included overtime. While some certainly were overpaid they were unable to show how they determined that number. Basically everyone had no way to know if they had been paid what they should have.",Week 2,All,Admin and Billing,4
Social Media,Removed,Staffing issues relayed to salary payments,"Loss of staffing schedules and payment software led to staff being paid based on last paycheck, which may not be reflective of work. For staff not being paid correctly, this was a demotivated for attending work.","This happened to us last year. They did this and did not truly keep track of payments. They underpaid me during that time and said they over paid me and tried to take money out of my paycheck in the months to follow. It took almost 2 months for me get the ordeal situated and the money I was shorted.  Also … jt took them almost 2 months to get us up and running. It was an absolute nightmare.  [Comment] This happened to a place I worked back in 2022 and it lasted a good 3+ months. I was getting big ass paychecks because I was per diem and had recently worked a bunch of incentive shifts, so the ones that were modeled after that were hefty, and I actually was on a travel contract, so I wasn’t even working for that company. Hang onto any money you are overpaid, because they will come for it.",Week 2,All,Admin and Billing,4
Social Media,Removed,Staffing issues relayed to salary payments,"Loss of staffing schedules and payment software led to staff being paid based on last paycheck, which may not be reflective of work. For staff not being paid correctly, this was a demotivated for attending work.","What are other people’s experiences with the Kronos ransomware attack that happened end of November or early December 2021? I work at a very profitable urban academic hospital in the *** and we have a strong union. However, our last 4-5 paychecks have been messed up since we can’t punch in/out and payroll is overwhelmed. We’ve been writing down our punch in/out times and you can write down if you’re using PTO or sick time or talk to your manager if you’re using FMLA/maternity leave etc.

Even though we’re writing down our time cards, we’re having issues such as
- people whose pay rate is randomly changed
- I write down I worked 72 hours but I get paid for some other random number like 68 hours
- constant requests to work overtime but when you do you don’t get paid for it
- random deduction or additions to the pto balance on checks whether you used any hours or not, or the hours saying 0
- no checks at all
- gross overpayments

So we fill out a paper time card and if your check is wrong you’re supposed to fill out a correction paper which is basically a repeat of what I put on the first paper. And unless you didn’t get a check at all, payroll is so overwhelmed they “don’t have the ability to cut separate checks until a later date.” I feel like this is unacceptable and our union is pushing the hospital but the hospital admin has no updates or information. I STRONGLY resent I have to spend my free time calculating my pay and then still missing hours for two months now, especially through the holidays, into a new tax year, and during a time other nurses are getting bonuses/sick travel pay etc.

WTF",Week 2,All,Admin and Billing,4
Social Media,Removed,Staffing issues relayed to salary payments,"Loss of staffing schedules and payment software led to staff being paid based on last paycheck, which may not be reflective of work. For staff not being paid correctly, this was a demotivated for attending work.","We had the same issues. They issued paychecks based on the number of hours you worked the pay period before it went down. So some people got paid way too much for a month, and some casual staff members didn’t get paid at all because they didn’t work that period.  They went back and tried to balance it back out on the following two pay periods, and that made things even worse. Some people got tiny paychecks, others got nothing, and everyone’s PTO balances were messed up. My paycheck was $330.  No issues with pay rate as far as I’ve heard, but a lot of people didn’t get paid for holidays that they worked.",Week 2,All,Admin and Billing,4
Social Media,Removed,Suicides related to exposed sensitive information,User describes a patient suicide attributed to the actions of a hacker who stole patient data and blackmailed them.,"Hacker jailed for blackmailing therapy patients: At least 1 suicide attributed to an attacker that failed to extort the company and instead turned to the patients whos data he had.  It might not happen to you or people you know directly, but it does happen.",First Month,Psychiatry,Health Records,10
Social Media,Removed,Transfer of critically-ill paediatric patients potentiating delays in care,Staff report the need to transfer critically ill children to neighbouring facilities due to inability to test and treat key conditions such as DKA.,Our group had to transfer critically ill children to neighboring facilities because we couldn’t do basic labs in DKA and other common illnesses.,First Day,Paediatrics,Laboratory Systems,8
Social Media,Removed,Worsened psychiatric symptoms relating to data breach in OCD patients,Patients with OCD express anxiety and frustration at effects of data breach leading to need to change extensive passwords and account logins,Today I began being honest with my therapist and others about my OCD. I felt pretty good about it. Then I came home and did some self care. Then I was alerted on my phone that my password was found in a data breach. So I need to sit here and change over 200 passwords and have severe anxiety about having my information stolen. Feeling like I’m being punished for opening up about my OCD.,First Week,Psychiatry,Health Records,6
Survey of Laboratory Medicine's national response to the HSE cyberattack in the Republic of Ireland,https://pubmed.ncbi.nlm.nih.gov/37737914/,"Loss of reference information/protocols for tests, raising risk of incorrect result interpretation","When the Laboratory information system went down the automatic application of reference ranges to patients results failed. As a result, there was a higher risk of clinicians misinterpreting results and missing key clinical intervetions","For the 23 laboratories (55%) that had no access to LIS, the automatic application of reference ranges and result flagging due to interferences was significantly impacted; 48% had no access to the automatic application of reference ranges, and 70% had no access to automatic interferences (indices) rules. Three out of the 23 laboratories (13%) had no access to previous patient results.",First Day,All,Laboratory Systems,7
Survey of Laboratory Medicine's national response to the HSE cyberattack in the Republic of Ireland,https://pubmed.ncbi.nlm.nih.gov/37737914/,"No test reference ranges for specific subgroups, raising risks of harm","Loss of laboratory information systems (LIS) meant that reference ranges weren’t applied to test results, this also included age-specific reference ranges and those for groups who require adapted interventions. This may have a health equity impact.","As well as all the appropriate patient-specific identifiers, an electronic patient report contains, among other things, age-appropriate reference ranges, units of measurement, alert flags and interpretative comments. Production of paper reports during this time was a manual process requiring a high level of scientific input to ensure the quality of results was maintained. This level of manual work is slower and brings with it additional risks [18].",First Day,All,ePrescribing,7
Survey of Laboratory Medicine's national response to the HSE cyberattack in the Republic of Ireland,https://pubmed.ncbi.nlm.nih.gov/37737914/,"Phone lines and email go down, labs can’t communicate critical results.","Networked communication channels including phone lines and email were lost, causing particular issues for blood laboratories unable to communicate critical patient results to staff.","Many communication channels and applications within the HSE were lost, including email and networked phone lines. While all respondents reported having a policy for the communication of critical results in place, 21% had no access to a phone line within the laboratory, which impacted the communication of critical results to clinical staff, with 33% of respondents reporting difficulties in contacting requesting clinicians, and 55% unable to maintain their policy for result notification. // Quote 2: Due to loss of connectivity, 33% of respondents reported difficulties in contacting clinicians, with 55% of respondents making changes to the procedure for notifying clinicians. Critical values communication is now an integral part of many accreditation procedures for medical laboratories, including the universally agreed International Organization for Standardization (ISO) 15189:2012 [19] and a cornerstone of effective diagnosis and treatment of patients [20]. While all respondents reported having a critical phone policy in place, 55% could not maintain their notification procedure, further highlighting the impact of the IT disruption across healthcare and the ability of services to maintain normal and safe operating procedures. ",First Day,All,Hospital Infrastructure,7
Surviving a Cyberattack in Anatomic Pathology: Disaster Response and Creation of an Incident Command System,https://journals.lww.com/pathologycasereviews/pages/articleviewer.aspx?year=2022&issue=07000&article=00009&type=Fulltext,Delays in processing histopathology samples,"Due to the loss of automated histology systems in the laboratory, staff had to return to rudimentary manual methods which led to significant delays and a built up in samples.","Despite off-loading reference clients, our volume was still too high for our processing capacity. To remedy this, we partnered with our nearby network affiliate laboratory 50 miles away, to divert our high-volume biopsy cases (dermatopathology and gastrointestinal pathology). This nearly tripled the normal volume for this laboratory, so to enable this, we sent a pathologist assistant, a histology technician, and a microtome and emergently credentialed 4 pathologists to sign out cases at that location. This workflow required significant coordination with tracking of assets, couriers, staffing, and communication with clients.",First Week,Oncology,Laboratory Systems,7
Surviving a Cyberattack in Anatomic Pathology: Disaster Response and Creation of an Incident Command System,https://journals.lww.com/pathologycasereviews/pages/articleviewer.aspx?year=2022&issue=07000&article=00009&type=Fulltext,"Failure of automated histology slide printers, delaying results","Histology slide printers are automated systems for printing labels and barcodes, essential for processing histological specimens.  ","In the moments that followed the shutdown, there were both confusion and concern. When 1 minute led to 10, then to an hour, the level of anxiety rose throughout the department. Computers were entirely nonresponsive: no EHR, no email, no internet, and no connectivity to printers or laboratory equipment. In accessioning, containers continued to arrive with patient specimens, but no way to process them. The histology laboratory had blocks to cut, but no way to print slides. While some faculty had stacks of slides, there was no way to report the results. It was then that the hallway chatter began to grow. After multiple hours had passed, people began to realize the full extent of the outage and that it may be longer than a simple, remediable downtime.",First Day,All,Laboratory Systems,7
The crippling effects of a cyberattack at an academic level 1 trauma center: An orthopedic perspective,https://pubmed.ncbi.nlm.nih.gov/36801172/,Delays in blood results due to failed pneumatic tube systems,"Patients with critical conditions face delays in receiving blood results due to the pneumatic tube system being disrupted, and the need for manual runners.","Obtaining bloodwork was an especially difficult task. Bloodwork was paper ordered, the paper order hand delivered to the nurse or phlebotomist, and the sample hand-carried to the lab due to failed pneumatic tube systems. For this reason, extra staff was temporarily hired to assist with laboratory conveyance.",First Week,All,Hospital Infrastructure,7
The crippling effects of a cyberattack at an academic level 1 trauma center: An orthopedic perspective,https://pubmed.ncbi.nlm.nih.gov/36801172/,Patients at risk of not receiving critical care due to inability to contact key teams,"The cyberattack led to the loss of hospital wide voice-over-IP, phone connections and paging systems, preventing staff from calling other teams for help and intervention.","Hospital wide voice-over-IP and phone failure, plus Paging System failure (Table 2)  Quote 2: Prior to seeing the images, though, the patient had to be located. Even this became difficult as phones to contact consulting physicians were voice-over-IP (VoIP) and nonfunctioning, with no easily accessible centralized census system and no functioning pager system.",First Hour,All,Hospital Infrastructure,10
The crippling effects of a cyberattack at an academic level 1 trauma center: An orthopedic perspective,https://pubmed.ncbi.nlm.nih.gov/36801172/,Risk of medication errors and delirium in elderly patients with polypharmacy,"The loss of the patient record and delays in completing medical reconciliation was a particular risk for patients with dementia who had no family present, as there previous medications and possible interactions could not be identified.","Once the patient was located, radiographs reviewed real-time bedside, and clinical suspicion of a hip fracture confirmed, admission orders were placed based on a patient's knowledge of their own medical history and medication history, and a phone call to their pharmacy. For patients with dementia and no family physically present, medical reconciliations took days instead of minutes. Orders became handwritten instead of typed or selected from a pre-populated list, significantly decreasing the efficiency in patient care.",First Week,All,ePrescribing,6
The Effect of the 2021 Irish Cyber-Attack on Otolaryngology Outpatient Non-attendance at a Model 4 Hospital in the Post-COVID Era,https://www.cureus.com/articles/101540-the-effect-of-the-2021-irish-cyber-attack-on-otolaryngology-outpatient-non-attendance-at-a-model-4-hospital-in-the-post-covid-era#!/,Cancellation of diagnostic procedures,Cancellation of diagnostic procedures,"Otolaryngology has been disproportionately affected by the COVID-19 pandemic, from the cancellation of non-urgent procedures and outpatient appointments to surgeons having to grapple with the increased risks of performing surgery in the upper aerodigestive tract in a pandemic environment //  Just as hospital infrastructure and scheduling began to return to relative normality, the Health Service Executive IT systems suffered a catastrophic Cyber-Attack, rendering hospital IT systems unusable and patient data vulnerable. This placed a considerable burden on clinical, non-clinical, and administrative staff, with laboratory tests and radiological investigations being disabled and outpatient appointment systems being compromised. ",First Day,ENT; General Surgery,Imaging,7
